Age,BestSquatKg
23.0,205.0
23.0,220.0
26.0,142.5
35.0,95.0
26.5,105.0
23.0,260.0
22.5,162.5
24.0,200.0
19.5,115.0
54.0,72.5
28.0,157.5
47.0,220.0
24.5,172.5
25.0,183.7
42.5,292.5
17.0,90.0
27.0,215.0
37.5,102.5
38.0,190.0
27.5,122.5
25.0,310.0
19.5,110.0
18.5,85.0
18.5,110.0
20.0,197.5
15.0,105.0
47.0,204.12
29.0,292.5
33.5,250.0
17.5,167.5
20.0,97.5
54.0,82.5
17.5,97.5
18.5,142.5
18.5,145.0
24.0,320.0
31.0,142.5
20.0,92.5
26.0,255.0
22.0,265.35
48.0,180.0
30.5,283.5
21.5,242.5
52.0,205.0
22.0,220.0
18.0,225.0
16.0,160.0
20.5,145.0
19.5,225.0
30.0,275.0
43.5,220.0
53.0,85.0
23.5,235.0
26.0,97.52
17.5,110.0
55.5,252.5
35.0,140.0
33.0,232.5
44.0,175.0
40.0,192.78
16.5,170.0
38.0,220.0
24.0,240.0
45.0,170.0
24.0,222.5
21.0,197.5
23.5,142.5
30.0,235.0
,160.0
21.5,227.5
25.0,267.5
26.0,342.5
38.0,225.0
34.5,140.0
20.5,232.5
27.5,180.0
21.0,177.5
17.5,222.3
26.0,72.5
53.5,197.5
35.5,297.1
40.0,137.5
31.0,182.5
69.5,155.0
31.5,105.0
37.0,115.0
17.5,130.0
20.0,105.0
19.0,212.5
29.0,295.0
41.0,295.0
31.5,155.0
40.0,115.0
30.5,135.0
26.0,
21.5,210.0
22.0,222.5
25.0,114.99
24.0,227.5
20.0,220.0
23.0,205.0
26.0,182.5
19.0,295.02
22.0,149.69
32.0,130.0
31.0,167.83
35.0,165.56
50.5,77.5
54.5,230.0
39.0,135.0
31.0,247.5
42.0,260.0
15.5,167.5
27.5,230.0
24.0,152.5
57.0,182.5
24.5,112.5
36.0,192.5
33.5,117.5
63.0,165.0
16.5,125.0
18.5,285.0
28.0,117.5
21.5,182.5
31.5,85.0
27.0,245.0
52.5,90.0
25.5,250.0
19.0,-197.5
40.0,107.5
20.5,210.0
20.5,297.5
21.0,152.5
31.5,172.5
44.5,137.5
24.5,90.0
38.0,112.5
31.5,395.0
18.5,230.0
16.5,117.5
15.5,77.5
33.5,280.0
22.0,233.6
31.0,175.0
22.0,167.5
31.0,200.0
22.0,102.5
22.0,200.0
29.0,185.0
18.0,105.0
23.0,167.5
20.5,207.5
30.0,177.5
30.0,255.0
18.5,77.5
14.0,110.0
21.5,82.5
27.0,237.5
14.5,85.0
16.5,97.5
17.0,142.88
14.5,115.0
58.0,137.5
30.5,190.0
17.0,195.0
21.5,112.5
35.5,370.0
36.5,197.5
15.0,155.0
20.0,175.0
24.0,250.0
24.5,130.0
29.0,302.5
19.5,220.0
26.0,95.0
22.5,285.0
16.0,127.5
42.5,225.0
54.0,80.0
31.5,117.5
36.0,225.0
36.5,110.0
59.5,110.0
43.0,142.5
43.5,180.0
29.0,207.5
37.0,430.0
21.0,92.5
32.0,113.4
38.0,260.0
16.0,155.0
39.0,117.5
26.0,255.0
32.5,170.0
14.5,105.0
22.0,150.0
36.0,117.5
49.5,125.0
30.5,115.0
22.0,147.5
53.5,280.0
30.0,282.5
28.0,160.0
19.5,290.0
18.0,245.0
23.0,212.5
25.5,137.5
29.0,195.0
17.0,120.0
38.5,230.0
27.0,310.0
19.5,240.0
56.0,150.0
75.0,185.0
28.0,-322.5
28.5,217.5
42.0,142.5
19.0,105.0
19.5,120.0
22.5,257.5
21.5,105.0
59.5,300.0
23.5,115.0
22.0,97.5
24.0,100.0
21.0,182.5
31.5,210.0
17.5,168.5
20.0,27.5
26.0,250.0
28.0,225.0
25.0,220.0
28.5,122.5
27.0,285.0
15.0,80.0
21.5,230.0
38.0,115.0
31.0,205.0
25.5,197.5
67.0,210.0
42.5,175.0
24.0,177.5
26.5,127.5
35.0,137.5
15.0,142.88
21.0,157.5
61.0,92.5
42.0,136.08
21.5,142.5
40.0,322.5
23.0,151.95
28.5,62.5
26.5,255.0
25.0,135.0
19.5,172.5
22.5,145.0
33.0,477.5
46.5,205.0
22.0,260.0
20.0,165.0
28.0,265.0
34.0,155.0
32.5,120.0
18.0,107.5
58.0,257.5
23.0,240.0
19.5,65.0
19.5,160.0
43.0,115.0
44.0,127.5
68.0,117.5
23.0,205.0
25.5,100.0
35.5,315.0
