BestSquatKg,BestDeadliftKg
205.0,235.0
220.0,260.0
142.5,220.0
95.0,102.5
105.0,127.5
260.0,285.0
162.5,200.0
200.0,227.5
115.0,127.5
72.5,115.0
157.5,205.0
220.0,207.5
172.5,210.0
183.7,226.8
292.5,322.5
90.0,135.0
215.0,235.0
102.5,140.0
190.0,237.5
122.5,155.0
310.0,350.0
110.0,157.5
85.0,115.0
110.0,135.0
197.5,235.0
105.0,122.5
204.12,204.12
292.5,342.5
250.0,280.0
167.5,152.5
97.5,125.0
82.5,90.0
97.5,135.0
142.5,182.5
145.0,135.0
320.0,320.0
142.5,152.5
92.5,127.5
255.0,302.5
265.35,278.96
180.0,255.0
283.5,317.51
242.5,257.5
205.0,235.0
220.0,227.5
225.0,267.5
160.0,167.5
145.0,160.0
225.0,227.5
275.0,322.5
220.0,230.0
85.0,115.0
235.0,282.5
97.52,115.67
110.0,115.0
252.5,265.0
140.0,165.0
232.5,272.5
175.0,182.5
192.78,163.29
170.0,232.5
220.0,250.0
240.0,227.5
170.0,167.5
222.5,165.0
197.5,227.5
142.5,142.5
235.0,260.0
160.0,155.0
227.5,202.5
267.5,285.0
342.5,295.0
225.0,277.5
140.0,157.5
232.5,260.0
180.0,160.0
177.5,232.5
222.3,229.1
72.5,105.0
197.5,245.0
297.1,249.48
137.5,167.5
182.5,207.5
155.0,215.0
105.0,132.5
115.0,172.5
130.0,137.5
105.0,117.5
212.5,190.0
295.0,335.0
295.0,265.0
155.0,215.0
115.0,137.5
135.0,182.5
,100.0
210.0,230.0
222.5,260.0
114.99,172.48
227.5,255.0
220.0,245.0
205.0,272.5
182.5,195.0
295.02,272.52
149.69,204.12
130.0,142.5
167.83,231.33
165.56,206.38
77.5,105.0
230.0,245.0
135.0,177.5
247.5,297.5
260.0,272.5
167.5,145.0
230.0,272.5
152.5,217.5
182.5,215.0
112.5,150.0
192.5,210.0
117.5,135.0
165.0,190.0
125.0,122.5
285.0,287.5
117.5,165.0
182.5,242.5
85.0,160.0
245.0,230.0
90.0,155.5
250.0,290.0
-197.5,240.0
107.5,122.5
210.0,250.0
297.5,322.5
152.5,220.0
172.5,222.5
137.5,145.0
90.0,132.5
112.5,105.0
395.0,375.0
230.0,275.0
117.5,137.5
77.5,100.0
280.0,235.0
233.6,254.01
175.0,220.0
167.5,190.0
200.0,280.0
102.5,142.5
200.0,215.0
185.0,215.0
105.0,142.5
167.5,160.0
207.5,255.0
177.5,195.0
255.0,295.0
77.5,100.0
110.0,137.5
82.5,110.0
237.5,242.5
85.0,110.0
97.5,113.4
142.88,183.7
115.0,117.5
137.5,165.0
190.0,240.0
195.0,222.5
112.5,127.5
370.0,290.0
197.5,220.0
155.0,187.5
175.0,202.5
250.0,240.0
130.0,140.0
302.5,300.0
220.0,272.5
95.0,107.5
285.0,285.0
127.5,115.0
225.0,248.0
80.0,122.5
117.5,137.5
225.0,240.0
110.0,137.5
110.0,150.5
142.5,137.5
180.0,182.5
207.5,210.0
430.0,400.0
92.5,112.5
113.4,129.27
260.0,250.0
155.0,205.0
117.5,127.5
255.0,272.5
170.0,205.0
105.0,135.0
150.0,165.0
117.5,157.5
125.0,145.0
115.0,122.5
147.5,227.5
280.0,282.5
282.5,255.0
160.0,175.0
290.0,280.0
245.0,230.0
212.5,275.0
137.5,177.5
195.0,220.0
120.0,150.0
230.0,232.5
310.0,305.0
240.0,225.0
150.0,162.5
185.0,182.5
-322.5,250.0
217.5,245.0
142.5,190.0
105.0,130.0
120.0,127.5
257.5,285.0
105.0,175.0
